gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
0,ec6,500.0,0,0,0.0,41.264194444444435,27.639055555555554,107.0
1,cc2,500.0,0,0,0.0,41.293416666666666,27.944222222222226,154.0
2,t6,500.0,0,0,0.0,41.34030555555556,27.26763888888889,44.0
3,t4,500.0,0,0,0.0,41.35752777777777,27.38741666666667,41.0
4,t1-1,500.0,0,0,0.0,41.27711111111111,27.582555555555555,101.0
5,t3-1,500.0,0,0,0.0,41.34280555555557,27.456888888888887,57.0
6,t7-1,500.0,0,0,0.0,41.41822222222222,27.219555555555555,53.0
7,t3-2,500.0,0,0,0.0,41.335722222222216,27.47411111111111,69.0
8,ec4,500.0,0,0,0.0,41.242194444444436,27.684361111111112,91.0
9,cc8,500.0,0,0,0.0,41.17138888888889,27.794888888888888,120.0
10,cc7,500.0,0,0,0.0,41.18147222222222,27.813305555555555,136.0
11,t1-2,500.0,0,0,0.0,41.26191666666666,27.548111111111112,83.0
12,t8-1,500.0,0,0,0.0,41.060138888888886,27.338777777777768,111.0
13,cc6,500.0,0,0,0.0,41.20744444444445,27.86411111111111,150.0
14,cc1,500.0,0,0,0.0,41.27316666666667,27.96463888888889,142.0
15,cc11,500.0,0,0,0.0,41.16366666666666,27.49325,87.0
16,t2-3,500.0,0,0,0.0,41.30561111111111,27.52175,69.0
17,ec5,500.0,0,0,0.0,41.22958333333335,27.64325,83.0
18,m18,500.0,0,0,0.0,41.040416666666665,26.35594444444445,12.0
19,t9,500.0,0,0,0.0,41.36775,27.14011111111111,42.0
20,ec3,500.0,0,0,0.0,41.256694444444435,27.73566666666667,106.0
21,m2,500.0,0,0,0.0,41.19519444444444,27.46575,70.0
22,cc3,500.0,0,0,0.0,41.23858333333333,27.869722222222233,130.0
23,t7-2,500.0,0,0,0.0,41.36988888888889,27.176,42.0
24,m16,500.0,0,0,0.0,41.246833333333335,26.6185,18.0
25,ec7,500.0,0,0,0.0,41.21675000000001,27.52633333333333,76.0
26,t2-2,500.0,0,0,0.0,41.29263888888889,27.50344444444445,55.0
27,cc9,500.0,0,0,0.0,41.17636111111111,27.764527777777786,115.0
28,m4,500.0,0,0,0.0,41.25444444444445,27.45308333333333,56.0
29,t12-3,500.0,0,0,0.0,41.683166666666665,27.19808333333333,166.0
0,ec6,500.0,0,1,0.0,41.264194444444435,27.639055555555554,107.0
1,cc2,500.0,0,1,0.0,41.293416666666666,27.944222222222226,154.0
2,t6,500.0,0,1,0.0,41.34030555555556,27.26763888888889,44.0
3,t4,500.0,0,1,0.0,41.35752777777777,27.38741666666667,41.0
4,t1-1,500.0,0,1,0.0,41.27711111111111,27.582555555555555,101.0
5,t3-1,500.0,0,1,0.0,41.34280555555557,27.456888888888887,57.0
6,t7-1,500.0,0,1,0.0,41.41822222222222,27.219555555555555,53.0
7,t3-2,500.0,0,1,0.0,41.335722222222216,27.47411111111111,69.0
8,ec4,500.0,0,1,0.0,41.242194444444436,27.684361111111112,91.0
9,cc8,500.0,0,1,0.0,41.17138888888889,27.794888888888888,120.0
10,cc7,500.0,0,1,0.0,41.18147222222222,27.813305555555555,136.0
11,t1-2,500.0,0,1,0.0,41.26191666666666,27.548111111111112,83.0
12,t8-1,500.0,0,1,0.0,41.060138888888886,27.338777777777768,111.0
13,cc6,500.0,0,1,0.0,41.20744444444445,27.86411111111111,150.0
14,cc1,500.0,0,1,0.0,41.27316666666667,27.96463888888889,142.0
15,cc11,500.0,0,1,0.0,41.16366666666666,27.49325,87.0
16,t2-3,500.0,0,1,0.0,41.30561111111111,27.52175,69.0
17,ec5,500.0,0,1,0.0,41.22958333333335,27.64325,83.0
18,m18,500.0,0,1,0.0,41.040416666666665,26.35594444444445,12.0
19,t9,500.0,0,1,0.0,41.36775,27.14011111111111,42.0
20,ec3,500.0,0,1,0.0,41.256694444444435,27.73566666666667,106.0
21,m2,500.0,0,1,0.0,41.19519444444444,27.46575,70.0
22,cc3,500.0,0,1,0.0,41.23858333333333,27.869722222222233,130.0
23,t7-2,500.0,0,1,0.0,41.36988888888889,27.176,42.0
24,m16,500.0,0,1,0.0,41.246833333333335,26.6185,18.0
25,ec7,500.0,0,1,0.0,41.21675000000001,27.52633333333333,76.0
26,t2-2,500.0,0,1,0.0,41.29263888888889,27.50344444444445,55.0
27,cc9,500.0,0,1,0.0,41.17636111111111,27.764527777777786,115.0
28,m4,500.0,0,1,0.0,41.25444444444445,27.45308333333333,56.0
29,t12-3,500.0,0,1,0.0,41.683166666666665,27.19808333333333,166.0
4,ec6,1000.0,0,0,0.0,41.264194444444435,27.639055555555554,107.0
5,cc2,1000.0,0,0,0.0,41.293416666666666,27.944222222222226,154.0
6,t6,1000.0,0,0,0.0,41.34030555555556,27.26763888888889,44.0
7,t4,1000.0,0,0,0.0,41.35752777777777,27.38741666666667,41.0
8,t1-1,1000.0,0,0,0.0,41.27711111111111,27.582555555555555,101.0
0,t3-1,1000.0,0,0,0.0,41.34280555555557,27.456888888888887,57.0
9,t7-1,1000.0,0,0,0.0,41.41822222222222,27.219555555555555,53.0
0,t3-2,1000.0,0,0,0.0,41.335722222222216,27.47411111111111,69.0
10,ec4,1000.0,0,0,0.0,41.242194444444436,27.684361111111112,91.0
2,cc8,1000.0,0,0,0.0,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,0,0,0.0,41.18147222222222,27.813305555555555,136.0
11,t1-2,1000.0,0,0,0.0,41.26191666666666,27.548111111111112,83.0
12,t8-1,1000.0,0,0,0.0,41.060138888888886,27.338777777777768,111.0
13,cc6,1000.0,0,0,0.0,41.20744444444445,27.86411111111111,150.0
14,cc1,1000.0,0,0,0.0,41.27316666666667,27.96463888888889,142.0
15,cc11,1000.0,0,0,0.0,41.16366666666666,27.49325,87.0
16,t2-3,1000.0,0,0,0.0,41.30561111111111,27.52175,69.0
17,ec5,1000.0,0,0,0.0,41.22958333333335,27.64325,83.0
18,m18,1000.0,0,0,0.0,41.040416666666665,26.35594444444445,12.0
19,t9,1000.0,0,0,0.0,41.36775,27.14011111111111,42.0
20,ec3,1000.0,0,0,0.0,41.256694444444435,27.73566666666667,106.0
21,m2,1000.0,0,0,0.0,41.19519444444444,27.46575,70.0
22,cc3,1000.0,0,0,0.0,41.23858333333333,27.869722222222233,130.0
23,t7-2,1000.0,0,0,0.0,41.36988888888889,27.176,42.0
24,m16,1000.0,0,0,0.0,41.246833333333335,26.6185,18.0
25,ec7,1000.0,0,0,0.0,41.21675000000001,27.52633333333333,76.0
26,t2-2,1000.0,0,0,0.0,41.29263888888889,27.50344444444445,55.0
27,cc9,1000.0,0,0,0.0,41.17636111111111,27.764527777777786,115.0
28,m4,1000.0,0,0,0.0,41.25444444444445,27.45308333333333,56.0
29,t12-3,1000.0,0,0,0.0,41.683166666666665,27.19808333333333,166.0
0,t3-1,1000.0,1,0,0.0,41.34280555555557,27.456888888888887,57.0
0,t3-2,1000.0,1,0,0.0,41.335722222222216,27.47411111111111,69.0
2,cc8,1000.0,1,0,0.0,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,1,0,0.0,41.18147222222222,27.813305555555555,136.0
4,ec6,1000.0,0,1,0.0,41.264194444444435,27.639055555555554,107.0
5,cc2,1000.0,0,1,0.0,41.293416666666666,27.944222222222226,154.0
6,t6,1000.0,0,1,0.0,41.34030555555556,27.26763888888889,44.0
7,t4,1000.0,0,1,0.0,41.35752777777777,27.38741666666667,41.0
8,t1-1,1000.0,0,1,0.0,41.27711111111111,27.582555555555555,101.0
0,t3-1,1000.0,0,1,0.0,41.34280555555557,27.456888888888887,57.0
9,t7-1,1000.0,0,1,0.0,41.41822222222222,27.219555555555555,53.0
0,t3-2,1000.0,0,1,0.0,41.335722222222216,27.47411111111111,69.0
10,ec4,1000.0,0,1,0.0,41.242194444444436,27.684361111111112,91.0
2,cc8,1000.0,0,1,0.0,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,0,1,0.0,41.18147222222222,27.813305555555555,136.0
11,t1-2,1000.0,0,1,0.0,41.26191666666666,27.548111111111112,83.0
12,t8-1,1000.0,0,1,0.0,41.060138888888886,27.338777777777768,111.0
13,cc6,1000.0,0,1,0.0,41.20744444444445,27.86411111111111,150.0
14,cc1,1000.0,0,1,0.0,41.27316666666667,27.96463888888889,142.0
15,cc11,1000.0,0,1,0.0,41.16366666666666,27.49325,87.0
16,t2-3,1000.0,0,1,0.0,41.30561111111111,27.52175,69.0
17,ec5,1000.0,0,1,0.0,41.22958333333335,27.64325,83.0
18,m18,1000.0,0,1,0.0,41.040416666666665,26.35594444444445,12.0
19,t9,1000.0,0,1,0.0,41.36775,27.14011111111111,42.0
20,ec3,1000.0,0,1,0.0,41.256694444444435,27.73566666666667,106.0
21,m2,1000.0,0,1,0.0,41.19519444444444,27.46575,70.0
22,cc3,1000.0,0,1,0.0,41.23858333333333,27.869722222222233,130.0
23,t7-2,1000.0,0,1,0.0,41.36988888888889,27.176,42.0
24,m16,1000.0,0,1,0.0,41.246833333333335,26.6185,18.0
25,ec7,1000.0,0,1,0.0,41.21675000000001,27.52633333333333,76.0
26,t2-2,1000.0,0,1,0.0,41.29263888888889,27.50344444444445,55.0
27,cc9,1000.0,0,1,0.0,41.17636111111111,27.764527777777786,115.0
28,m4,1000.0,0,1,0.0,41.25444444444445,27.45308333333333,56.0
29,t12-3,1000.0,0,1,0.0,41.683166666666665,27.19808333333333,166.0
0,t3-1,1000.0,1,1,0.0,41.34280555555557,27.456888888888887,57.0
0,t3-2,1000.0,1,1,0.0,41.335722222222216,27.47411111111111,69.0
2,cc8,1000.0,1,1,0.0,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,1,1,0.0,41.18147222222222,27.813305555555555,136.0
10,ec6,1500.0,0,0,0.0,41.264194444444435,27.639055555555554,107.0
0,cc2,1500.0,0,0,0.0,41.293416666666666,27.944222222222226,154.0
11,t6,1500.0,0,0,0.0,41.34030555555556,27.26763888888889,44.0
12,t4,1500.0,0,0,0.0,41.35752777777777,27.38741666666667,41.0
13,t1-1,1500.0,0,0,0.0,41.27711111111111,27.582555555555555,101.0
2,t3-1,1500.0,0,0,0.0,41.34280555555557,27.456888888888887,57.0
14,t7-1,1500.0,0,0,0.0,41.41822222222222,27.219555555555555,53.0
2,t3-2,1500.0,0,0,0.0,41.335722222222216,27.47411111111111,69.0
15,ec4,1500.0,0,0,0.0,41.242194444444436,27.684361111111112,91.0
4,cc8,1500.0,0,0,0.0,41.17138888888889,27.794888888888888,120.0
4,cc7,1500.0,0,0,0.0,41.18147222222222,27.813305555555555,136.0
16,t1-2,1500.0,0,0,0.0,41.26191666666666,27.548111111111112,83.0
17,t8-1,1500.0,0,0,0.0,41.060138888888886,27.338777777777768,111.0
18,cc6,1500.0,0,0,0.0,41.20744444444445,27.86411111111111,150.0
0,cc1,1500.0,0,0,0.0,41.27316666666667,27.96463888888889,142.0
19,cc11,1500.0,0,0,0.0,41.16366666666666,27.49325,87.0
8,t2-3,1500.0,0,0,0.0,41.30561111111111,27.52175,69.0
20,ec5,1500.0,0,0,0.0,41.22958333333335,27.64325,83.0
21,m18,1500.0,0,0,0.0,41.040416666666665,26.35594444444445,12.0
22,t9,1500.0,0,0,0.0,41.36775,27.14011111111111,42.0
23,ec3,1500.0,0,0,0.0,41.256694444444435,27.73566666666667,106.0
24,m2,1500.0,0,0,0.0,41.19519444444444,27.46575,70.0
25,cc3,1500.0,0,0,0.0,41.23858333333333,27.869722222222233,130.0
26,t7-2,1500.0,0,0,0.0,41.36988888888889,27.176,42.0
27,m16,1500.0,0,0,0.0,41.246833333333335,26.6185,18.0
