Parameters	Latitude	Longitude	Elevation
t1-2	41°15'42.9"	27°32'53.2"	83
t8-1	41°03'36.5"	27°20'19.6"	111
t3-1	41°20'34.1"	27°27'24.8"	57
cc2	41°17'36.3"	27°56'39.2"	154
cc8	41°10'17.0"	27°47'41.6"	120
t3-2	41°20'08.6"	27°28'26.8"	69
ec6	41°15'51.1"	27°38'20.6"	107
t4	41°21'27.1"	27°23'14.7"	41
t7-1	41°25'05.6"	27°13'10.4"	53
ec5	41°13'46.5"	27°38'35.7"	83
ec4	41°14'31.9"	27°41'03.7"	91
cc1	41°16'23.4"	27°57'52.7"	142
cc3	41°14'18.9"	27°52'11.0"	130
cc7	41°10'53.3"	27°48'47.9"	136
ec2	41°07'48.1"	27°46'22.7"	95
t7-2	41°22'11.6"	27°10'33.6"	42
m16	41°14'48.6"	26°37'06.6"	18
t13-1	41°47'09.3"	27°07'45.4"	244
t12-5	41°21'52.9"	27°03'42.5"	38
t1-1	41°16'37.6"	27°34'57.2"	101
m2	41°11'42.7"	27°27'56.7"	70
m12	41°20'32.5"	27°02'20.0"	32
t6	41°20'25.1"	27°16'03.5"	44
t12-3	41°40'59.4"	27°11'53.1"	166
cc6	41°12'26.8"	27°51'50.8"	150
ec3	41°15'24.1"	27°44'08.4"	106
t9	41°22'03.9"	27°08'24.4"	42
ec7	41°13'00.3"	27°31'34.8"	76
t2-2	41°17'33.5"	27°30'12.4"	55
m4	41°15'16.0"	27°27'11.1"	56
