gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,0.0,41.090138888888895,27.469055555555553,118.0
1,500.0,0,0,0.0,41.785916666666665,27.129277777777766,244.0
2,500.0,0,0,0.0,41.42869444444444,27.367305555555557,62.0
3,500.0,0,0,0.0,40.921416666666666,26.92594444444445,129.0
4,500.0,0,0,0.0,41.683166666666665,27.19808333333333,166.0
5,500.0,0,0,0.0,41.250638888888886,26.64494444444445,12.0
6,500.0,0,0,0.0,41.34663888888889,27.83152777777777,111.0
7,500.0,0,0,0.0,41.040416666666665,26.35594444444445,12.0
8,500.0,0,0,0.0,41.18147222222222,27.813305555555555,136.0
9,500.0,0,0,0.0,41.129583333333336,26.48005555555555,19.0
10,500.0,0,0,0.0,41.293416666666666,27.944222222222226,154.0
11,500.0,0,0,0.0,40.94847222222222,26.930999999999997,102.0
12,500.0,0,0,0.0,41.454388888888886,27.045388888888887,63.0
13,500.0,0,0,0.0,41.38247222222222,26.91186111111111,34.0
14,500.0,0,0,0.0,41.324333333333335,26.82922222222221,18.0
15,500.0,0,0,0.0,41.20663888888889,26.607944444444453,11.0
16,500.0,0,0,0.0,41.23858333333333,27.869722222222233,130.0
17,500.0,0,0,0.0,41.13002777777777,27.772972222222233,95.0
18,500.0,0,0,0.0,41.060138888888886,27.338777777777768,111.0
19,500.0,0,0,0.0,41.28483333333333,26.698777777777767,24.0
20,500.0,0,0,0.0,41.085861111111114,26.547277777777786,21.0
21,500.0,0,0,0.0,41.4065,26.92894444444445,37.0
22,500.0,0,0,0.0,41.16366666666666,27.49325,87.0
23,500.0,0,0,0.0,41.264194444444435,27.639055555555554,107.0
24,500.0,0,0,0.0,41.34858333333335,26.886416666666666,22.0
25,500.0,0,0,0.0,41.20744444444445,27.86411111111111,150.0
26,500.0,0,0,0.0,41.30858333333333,26.789777777777786,18.0
27,500.0,0,0,0.0,41.363444444444454,27.326777777777767,43.0
28,500.0,0,0,0.0,41.14247222222223,27.599138888888888,89.0
29,500.0,0,0,0.0,41.21675000000001,27.52633333333333,76.0
0,500.0,0,1,0.0,41.090138888888895,27.469055555555553,118.0
